Source = IFS,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-90,185.5450984,42.35359739,32.05968491,32.98235373,-0.922668825,255.4766792,,181.5179177,38.86464891,30.8535109,32.07070218,-1.217191283,247.2905569
Apr-90,179.5550852,45.22836026,34.64736653,34.35687704,0.290489492,235.9727196,,179.3052527,43.71575818,36.13419227,33.39494549,2.739246779,246.4648167
Jul-90,150.1968405,33.03113713,37.36208567,33.69074304,3.671342631,210.6826333,,152.4129794,35.57156342,36.89946903,33.70336283,3.196106195,207.3451327
Oct-90,165.143671,32.86848378,33.34427865,28.11804383,5.226234821,223.7641475,,166.1090885,34.778452,33.45833333,28.34068231,5.117651025,224.842233
Jan-91,172.8484924,35.90470085,30.29214873,28.1111558,2.180992923,230.8856959,,167.9987066,32.9436872,27.52129141,27.27037111,0.250920306,218.4434385
Apr-91,187.5281732,39.37848123,32.78969197,36.75205737,-3.962365394,235.9658189,,191.3607291,37.89786537,33.90805884,35.84501919,-1.936960345,245.9214103
Jul-91,185.1779952,38.65239852,27.31397605,33.46841566,-6.15443961,241.4372713,,185.7864362,41.07260147,27.9116156,33.43780888,-5.526193285,242.7988394
Oct-91,185.6100563,40.78148917,26.59243936,36.2080059,-9.615566541,237.1116897,,185.0994545,42.47866835,27.49995804,38.28227724,-10.78231921,238.5673521
Jan-92,190.5370775,41.0463389,23.80633554,37.01380172,-13.20746618,238.1524912,,185.3131228,39.22528896,24.7437226,34.34834595,-9.604623356,231.9559585
Apr-92,184.2531192,37.86477956,24.53471603,32.9071571,-8.372441072,229.7445269,,190.9195909,36.0719009,25.31101217,32.20199259,-6.890980427,239.7857521
Jul-92,173.3456288,37.24829382,29.12374843,32.77346241,-3.649713983,228.4621312,,172.7053266,39.15687491,29.62547791,35.3291831,-5.703705186,228.9448926
Oct-92,185.7365249,38.54188826,34.84906546,37.97290225,-3.123836791,239.1701888,,184.5591826,40.47038611,36.28049552,42.4917262,-6.211230672,240.994665
Jan-93,181.4942779,41.40319803,32.07079881,40.15710746,-8.086308646,238.804922,,175.5380178,39.79257147,29.0233033,35.83214494,-6.808841641,226.8052765
Apr-93,186.503069,43.70848311,30.5275473,39.84747702,-9.319929715,239.9546133,,195.3636457,41.65426882,30.80945464,39.21959593,-8.410141291,250.9045292
Jul-93,192.3019678,46.0357149,28.30941948,38.14578228,-9.836362798,251.3469641,,190.7312925,47.61836186,28.98164911,41.15248519,-12.17083608,250.8709129
Oct-93,195.6067668,48.44827783,32.49194659,40.99169096,-8.499744366,255.7669032,,193.9511157,51.01714716,34.04314698,44.38699879,-10.34385182,257.9693402
Jan-94,196.9650919,52.41964739,35.19407898,43.46458798,-8.270508995,266.0801993,,190.7648793,50.46807486,32.25263285,40.3305049,-8.077872059,253.1804778
Apr-94,200.4067805,54.60157595,34.60060179,42.71838518,-8.117783392,273.7075037,,210.4786977,52.44763525,34.61143172,42.27806774,-7.66663601,286.2667556
Jul-94,202.0104027,61.5189731,37.73778158,44.50330586,-6.765524282,281.2174379,,200.0629452,62.96869306,38.55634697,46.11981669,-7.563469715,280.1038043
Oct-94,207.0400791,66.55309513,36.32313025,51.02064949,-14.69751924,297.3200257,,204.7774813,69.33244383,36.67502367,50.75503572,-14.08001205,293.4922958
Jan-95,211.4813515,71.92151787,37.89484087,51.65005204,-13.75521118,297.4697005,,204.9551425,69.84377927,36.19252305,51.96176183,-15.76923878,289.6130389
Apr-95,213.8636223,74.49750906,37.83632058,55.37302475,-17.53670417,302.2228446,,225.3452519,72.32706897,37.62554152,55.09477902,-17.4692375,316.6178534
Jul-95,215.8617138,73.14849119,39.00766961,57.73088958,-18.72321997,308.1720974,,213.6044991,73.9530425,38.97993295,55.94785122,-16.96791828,300.6410445
Oct-95,218.8244829,70.96380206,38.11726844,56.88454565,-18.76727721,306.2291405,,215.3661638,74.66071325,38.30125426,56.7422885,-18.44103424,301.7128104
Jan-96,219.905085,67.43687379,38.08067176,53.81284115,-15.73216939,300.6277506,,213.7084284,64.14237842,39.22409019,50.91370749,-11.6896173,292.7646832
Apr-96,219.2950524,68.45086372,39.41409453,55.90383051,-16.48973599,308.8621812,,232.0848667,66.13993003,39.05819817,55.81536504,-16.75716687,324.8184998
Jul-96,225.7305678,69.30832407,40.09769395,58.40398469,-18.30629073,310.1235774,,223.0153586,70.81303228,41.48949387,57.68315958,-16.19366571,307.4380165
Oct-96,228.2081614,71.79901152,41.41037838,57.4355871,-16.02520873,313.5294294,,223.333771,76.74587545,42.78928712,59.33893484,-16.54964772,313.7053083
Jan-97,229.3667793,74.87839392,48.23899293,58.53822379,-10.29923085,325.4557081,,223.7451019,70.80202756,45.16352816,56.13016513,-10.96663697,312.1843833
Apr-97,235.036554,76.35398657,50.61505826,61.91928901,-11.30423074,335.0680627,,249.5069487,73.90047006,50.1096805,61.91991961,-11.81023912,352.2378909
Jul-97,234.6632438,79.53723362,46.10603517,62.94248336,-16.83644819,329.5005709,,230.7953282,81.20170214,47.82097649,63.98518506,-16.16420857,326.1160974
Oct-97,234.950378,83.25366601,42.69564923,60.19874394,-17.5030947,332.1958944,,228.8004128,88.6184189,44.24286604,63.43634309,-19.19347705,331.7555614
Jan-98,236.8300178,78.45276848,39.63481414,63.01464632,-23.37983219,333.4766234,,232.3258279,73.89514342,36.15472328,59.33173803,-23.17701474,320.4084091
Apr-98,235.5393054,78.25903095,41.50507908,62.87823446,-21.37315538,325.22153,,251.3109087,75.96648935,40.85378751,62.8212555,-21.967468,343.2520954
Jul-98,236.8919388,78.66837397,44.5667549,59.51171299,-14.94495809,331.9871392,,231.5670403,80.26208667,46.72000251,61.92603958,-15.20603707,328.146136
Oct-98,228.8870912,73.67492697,48.74547109,56.809224,-8.063752913,324.2199501,,221.9445949,79.14498112,50.47052728,60.87283831,-10.40231103,323.4360895
Jan-99,231.9929047,70.11157055,50.23683537,57.6463937,-7.409558329,332.5438228,,228.6063683,65.37089209,46.19959443,53.25885048,-7.059256049,319.4052724
Apr-99,230.5933461,71.13467288,46.42174889,54.46540492,-8.043656031,328.1474809,,247.300872,69.23763092,45.64879039,54.24193722,-8.593146829,346.7487427
Jul-99,230.559746,72.61070453,48.09574953,52.88876867,-4.793019143,327.673513,,223.821771,73.81718368,50.92686595,56.20439932,-5.277533371,323.7262643
Oct-99,236.4207941,73.3609059,51.90319859,60.64408236,-8.740883768,338.7303892,,229.1695868,78.8430282,53.51341276,63.36139153,-9.847978766,337.8323368
Jan-00,239.9457662,73.8187616,52.7702163,62.30074773,-9.530531424,344.1164236,,237.3861198,69.31868638,52.27931186,59.71762906,-7.438317209,336.2055524
Apr-00,242.22976,71.65316059,53.75716148,61.50334806,-7.74618658,346.4741052,,259.3424361,70.07987777,52.87040814,61.10256543,-8.232157293,365.5227655
Jul-00,241.1510671,66.5003536,54.00253383,60.25979548,-6.25726165,343.0722569,,233.7106946,66.73009238,56.47189022,58.89389618,-2.422005965,333.6548161
Oct-00,243.5648257,64.48116386,56.92993951,65.16821157,-8.238272059,340.1508477,,236.1297127,69.36169444,57.06412674,64.64996496,-7.585838228,333.8483988
Jan-01,245.8275111,63.53234291,53.39472773,61.64270573,-8.247977996,336.5244728,,243.5961691,59.66191402,49.64139123,61.61309138,-11.97170015,327.6942464
Apr-01,245.5369066,62.19188597,54.50042851,60.37510108,-5.874672574,342.6836182,,262.8328493,60.62083713,53.67409302,59.89568434,-6.22159132,362.2188028
Jul-01,249.7899038,61.31200997,56.16810229,61.91008184,-5.741979544,348.7345936,,242.2393654,61.4247662,59.31108766,61.3307376,-2.01964994,339.5640624
Oct-01,251.2817998,62.54413313,53.02840663,58.13356909,-5.105162455,348.0476399,,243.6841875,67.97275618,53.89179768,58.00374821,-4.111950529,347.3886474
Jan-02,254.968631,61.02068145,54.52298812,57.39819017,-2.875202048,351.8358783,,252.6642392,56.72774428,49.35432586,56.63198845,-7.277662591,336.6766061
Apr-02,259.5491249,61.3163568,59.00289439,61.02103405,-2.018139661,366.477998,,277.0719053,59.58348128,58.29001239,60.523402,-2.233389613,386.4500982
Jul-02,261.3368448,63.33227279,61.02575677,66.53234301,-5.506586235,362.7040966,,253.8249862,64.1552733,65.80627408,66.89677896,-1.090504881,359.302494
Oct-02,263.6613677,63.59436263,60.67577027,64.12394569,-3.448175427,368.3705523,,255.9647747,68.94590297,61.16813319,65.56503659,-4.396903397,367.7259679
Jan-03,265.1253247,65.16936011,64.28832388,67.85059834,-3.562274451,371.7493837,,262.6983282,60.91648032,58.96425656,65.14038264,-6.176126078,356.1424058
Apr-03,,,,,,,,,,,,,
