Source = NP,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-88,10259.97613,3597.107594,3714.01075,4154.049332,-480.1954297,16842.1783,,10405.9277,3596.640175,3717.741948,4236.210351,-518.4684025,16908.51358
Apr-88,10467.6053,3686.923714,3804.37045,4411.862221,-644.8648803,16928.14295,,10509.20014,3681.231878,3794.347062,4471.327212,-676.9801498,16950.10638
Jul-88,10645.02477,3804.635658,3995.379946,4688.735056,-726.5137975,17112.1522,,10542.64074,3738.953275,3983.465938,4681.803005,-698.3370671,17031.21234
Oct-88,10808.79567,3773.715039,4138.466784,4892.589438,-713.9575842,17347.23055,,10759.02109,3874.3,4091.19188,4778.313856,-687.1219767,17447.14035
Jan-89,10888.77492,3819.499076,4193.235795,4461.970555,-319.922948,18058.73452,,10953.7634,3743.929258,4218.0691,4491.861436,-273.7923356,17985.76713
Apr-89,10767.84749,3872.475824,4354.82762,4841.345459,-509.5966438,17682.50499,,10792.46169,3864.348035,4374.870193,4916.919866,-542.0496732,17707.09536
Jul-89,10962.26355,3886.473982,4494.446129,4861.456854,-312.034716,18113.39078,,10872.129,3946.949345,4445.490533,4901.519199,-456.0286658,17998.24497
Oct-89,11072.22822,3898.788959,4577.78751,4986.702349,-375.6388924,18249.91539,,11041.29909,3952.920524,4583.140347,4877.904841,-294.7644939,18355.94306
Jan-90,11336.43361,4060.525013,4761.263404,5336.479876,-585.0512522,18483.0233,,11310.79098,4029.550655,4824.925239,5414.874791,-589.9495522,18400.65532
Apr-90,11448.1286,4165.875742,4988.18473,5533.053784,-598.1465503,18717.60791,,11543.89163,4161.91179,4918.287722,5550.400668,-632.1129457,18748.99504
Jul-90,11634.02403,4188.104844,4789.923537,5422.297709,-584.8875037,18919.25324,,11561.59547,4187.7869,4789.016592,5467.237062,-678.2204699,18796.82676
Oct-90,11788.64123,4314.942803,4932.654926,5583.994192,-703.7605588,19388.98258,,11847.80766,4407.725328,4949.40855,5437.462437,-488.0538877,19539.25826
Jan-91,11855.57443,4285.782365,4888.710731,5744.746559,-810.5603647,19028.97856,,11799.61386,4223.613974,4850.061292,5797.838063,-947.7767712,18902.8884
Apr-91,12032.9055,4270.907138,4876.631367,5726.98571,-867.5845878,19290.11528,,12066.15511,4276.359389,4899.136443,5801.944908,-902.8084647,19330.25443
Jul-91,12047.66399,4387.264669,4892.550526,5894.864112,-1041.421866,19502.26715,,12065.17156,4392.79738,4897.939489,5899.482471,-1001.542982,19398.88256
Oct-91,12135.43245,4443.065024,5013.417044,6053.172231,-978.3227803,19526.34447,,12138.93759,4475.39869,5017.63498,5917.963272,-900.3282926,19695.23127
Jan-92,12257.1082,4556.870983,5200.752222,6221.948716,-1014.305901,19780.07018,,12321.87734,4529.139301,5259.419871,6309.140234,-1049.720363,19806.49201
Apr-92,12446.5095,4499.368064,5193.689501,6487.579447,-1343.641165,19699.99589,,12549.0767,4519.187336,5125.360921,6501.135225,-1375.774304,19745.14263
Jul-92,12472.13077,4659.120393,5173.227629,6676.737343,-1435.238581,19576.27383,,12391.70918,4525.158515,5216.329494,6682.863105,-1466.533611,19471.66996
Oct-92,12490.61046,4569.895815,5074.163557,6548.860534,-1461.1238,19598.64436,,12454.65619,4629.654148,5108.603553,6428.238731,-1319.635179,19770.09831
Jan-93,12414.03711,4402.756043,4854.203716,6242.336673,-1366.804851,19410.33987,,12374.00533,4384.835808,4893.151669,6331.72788,-1438.576211,19265.78559
Apr-93,12212.12556,4416.273958,5072.467064,6220.228746,-1196.453365,19381.75506,,12311.05832,4443.552402,5008.05934,6225.976628,-1217.917287,19429.03734
Jul-93,12363.50149,4190.781477,5170.217369,6132.61892,-936.6178571,19388.61358,,12294.33802,4106.180786,5176.829982,6137.679466,-960.8494833,19289.70145
Oct-93,12409.45338,4186.39713,5318.285137,6139.62577,-894.9626748,19566.29655,,12359.25212,4210.676419,5324.055436,6043.222037,-719.1666005,19725.38605
Jan-94,12506.63748,4221.248862,5394.019569,6508.344445,-1025.571649,19693.69642,,12525.47157,4236.551528,5394.675776,6542.203673,-1147.527897,19555.89538
Apr-94,12637.40697,4378.698807,5511.605427,6602.645295,-1115.487385,19929.63957,,12677.92137,4411.706114,5522.749951,6641.794658,-1119.044707,19974.94286
Jul-94,12677.49559,4392.812216,5792.503112,6913.654219,-1183.803181,19811.82604,,12608.08953,4262.426638,5762.140933,6916.953255,-1154.812322,19730.58515
Oct-94,12742.16477,4659.910498,5911.51737,7158.210145,-1231.823416,20277.19342,,12703.49359,4840.635808,5875.851649,7124.348915,-1248.497265,20371.11429
Jan-95,12767.14469,4689.11054,6037.546511,7360.556059,-1294.972453,20193.16397,,12733,4558,6132,7380,-1248,20107
Apr-95,12855.86828,4645.593072,5981.058716,7483.050409,-1550.854536,20076.33283,,12922,4678,5947,7478,-1531,20119
Jul-95,12809.63968,4549.068639,6076.557714,7175.332577,-1071.751053,20261.24877,,12767,4566,6008,7217,-1209,20166
Oct-95,12791.74875,4549.392278,6347.05189,7394.217957,-1041.116192,20377.95024,,12771,4655,6346,7379,-1033,20434
Jan-96,12924.76523,4610.681316,6411.658451,7442.782173,-990.5149359,20518.04016,,12991,4581,6457,7483,-1026,20592
Apr-96,13015.67757,4738.41444,6585.455758,7521.486728,-989.2011717,20889.503,,13063,4760,6568,7514,-946,20926
Jul-96,13241.37357,4978.868765,6560.680287,7835.46895,-1330.652668,21094.89396,,13314,4971,6550,7831,-1281,21053
Oct-96,13362.68668,5158.174375,6617.428006,8125.252855,-1471.856038,21076.83973,,13370,5194,6588,8078,-1490,21122
Jan-97,13458.47124,5347.889583,6712.937493,8101.239749,-1405.640113,21512.19346,,13459,5365,6681,8091,-1410,21448
Apr-97,13541.51926,5519.787921,6937.687318,8318.124617,-1401.989243,21701.49499,,13503,5522,7024,8365,-1341,21730
Jul-97,13698.77904,5673.909628,7068.491725,8633.877222,-1507.69834,21819.58757,,13721,5589,7043,8631,-1588,21795
Oct-97,13842.90881,5766.136069,7268.130457,8965.722778,-1672.763127,22011.77995,,13810,5741,7280,8923,-1643,22024
Jan-98,13965.16325,5982.981257,7527.76684,9351.91112,-1788.569764,22387.42755,,13947,6064,7535,9395,-1860,22346
Apr-98,14213.20227,6150.367112,7666.744705,9698.963934,-2088.870062,22581.99459,,14224,6135,7668,9688,-2020,22604
Jul-98,14422.78663,6278.978951,7751.792621,9834.947482,-2042.660032,22870.00386,,14413,6156,7785,9838,-2053,22856
Oct-98,14691.67975,6378.948883,7619.095769,9979.644896,-2369.394213,23156.09712,,14662,6408,7590,9928,-2338,23149
Jan-99,14883.80646,6481.879587,7760.583197,10310.10513,-2486.527644,23346.5523,,14898,6501,7759,10328,-2569,23318
Apr-99,14961.89423,6550.531151,7824.347117,10360.56022,-2576.741463,23473.89041,,14929,6526,7870,10379,-2509,23492
Jul-99,15054.98647,6740.523513,7934.502541,10719.16741,-2791.187275,23561.57076,,15056,6695,7938,10728,-2790,23552
Oct-99,15164.47477,6874.602109,8063.530124,10907.41542,-2929.692171,23749.91533,,15120,6840,8001,10844,-2843,23737
Jan-00,15294.74387,7098.925958,8455.15532,11487.46873,-2956.256189,23980.21868,,15372,7089,8520,11528,-3008,24122
Apr-00,15311.22187,6879.403502,8325.473616,10984.40079,-2718.234132,24173.66564,,15307,6852,8320,10975,-2655,24190
Jul-00,15426.6118,6837.143288,8642.609378,11040.66846,-2402.230194,24545.73259,,15433,6961,8578,11096,-2518,24506
Oct-00,15479.09959,6820.676467,8830.950174,11164.66136,-2325.427212,24654.19909,,15461,6918,8788,11134,-2346,24611
Jan-01,15492.29499,6658.383618,8862.567221,11289.94057,-2350.808567,24589.26897,,15458,6602,8927,11306,-2379,24592
Apr-01,15584.7798,6951.008805,9008.597295,11313.32425,-2364.38692,24844.44944,,15577,6925,8999,11304,-2305,24861
Jul-01,15593.07568,7080.642982,8569.249473,11340.79535,-2780.987965,24780.30896,,15621,7112,8553,11397,-2844,24743
Oct-01,15401.45829,7063.642198,8760.79726,11197.10714,-2504.533683,24855.61257,,15468,7204,8734,11120,-2386,24845
