Source = IFS,Deseasonalized,,,,,,,Raw,,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP,
Jan-80,179.32,66.91,106.99,114.37,-8.57,353.16,,178.12,62.14,107.48,112.82,-5.34,348.01,
Apr-80,173.92,65.17,93.01,106.77,-13.25,327.27,,176.86,68.59,96.42,104.11,-7.69,334.34,
Jul-80,178.60,68.23,106.61,110.51,-4.65,340.33,,162.07,60.33,92.50,102.20,-9.70,306.90,
Oct-80,171.90,66.58,95.44,97.02,0.89,335.42,,188.32,75.47,105.50,108.48,-2.99,367.23,
Jan-81,173.81,63.09,94.31,97.53,-3.96,331.18,,171.14,58.68,95.78,96.24,-0.46,326.77,
Apr-81,178.28,63.03,99.04,100.37,-1.32,336.45,,181.01,66.37,101.65,97.57,4.08,343.44,
Jul-81,180.24,62.38,103.95,102.50,0.01,339.69,,163.02,55.10,89.75,94.85,-5.10,305.08,
Oct-81,179.43,60.15,106.76,105.71,2.75,336.32,,197.08,68.12,116.86,117.84,-0.98,367.73,
Jan-82,179.43,60.28,102.73,103.73,-1.74,329.10,,176.26,56.16,104.27,102.50,1.77,326.79,
Apr-82,182.42,61.74,109.34,107.34,2.05,343.35,,184.68,65.08,111.97,104.65,7.32,350.15,
Jul-82,183.68,61.62,110.21,110.95,-1.55,341.51,,167.33,54.34,95.91,102.62,-6.71,304.97,
Oct-82,187.70,64.33,116.81,123.04,-6.17,345.32,,204.69,72.67,126.91,136.54,-9.63,376.36,
Jan-83,184.22,64.61,124.87,118.69,4.47,345.70,,182.65,60.39,123.61,115.67,7.94,344.88,
Apr-83,180.35,61.36,122.24,114.04,9.40,345.92,,182.05,64.78,127.80,113.52,14.29,353.67,
Jul-83,183.32,64.05,125.24,117.82,7.01,349.62,,166.41,56.38,110.84,108.85,1.99,311.09,
Oct-83,185.22,65.15,126.09,118.79,8.89,358.07,,200.49,73.39,136.13,130.26,5.87,387.09,
Jan-84,186.43,65.79,139.04,120.07,17.69,364.13,,188.55,61.71,140.62,119.66,20.96,368.01,
Apr-84,185.40,65.47,130.18,119.79,10.47,359.87,,187.15,69.14,133.04,118.10,14.93,365.95,
Jul-84,185.97,64.55,128.42,118.61,10.15,363.13,,167.78,56.88,114.01,108.80,5.21,321.66,
Oct-84,188.15,68.21,132.88,118.59,15.17,367.15,,201.17,76.51,142.75,129.93,12.81,396.86,
Jan-85,191.26,70.50,128.39,129.41,-1.74,368.60,,193.97,66.42,130.03,128.76,1.27,373.78,
Apr-85,192.15,71.33,132.81,128.48,4.52,369.15,,194.53,75.23,135.84,127.42,8.42,375.93,
Jul-85,194.85,70.73,134.69,125.11,9.79,378.68,,174.79,62.49,120.13,115.16,4.97,337.15,
Oct-85,190.66,68.60,129.91,117.57,13.15,368.96,,204.86,76.68,139.71,128.07,11.64,397.88,
Jan-86,193.04,68.49,127.16,113.12,11.91,378.21,,194.27,64.74,124.71,110.36,14.34,382.41,
Apr-86,194.44,71.04,125.20,115.26,11.47,379.93,,197.79,74.75,132.57,117.50,15.07,389.98,
Jul-86,196.08,70.36,125.35,111.09,13.42,380.71,,177.06,62.38,110.57,101.84,8.72,337.46,
Oct-86,199.17,71.46,121.82,111.38,11.33,381.57,,212.65,79.60,131.51,121.12,10.40,410.38,
Jan-87,200.93,72.62,122.13,114.27,7.90,385.53,,203.04,68.93,124.17,114.34,9.83,392.28,
Apr-87,207.65,75.07,126.84,119.13,7.54,391.24,,211.72,78.71,130.09,118.96,11.13,400.40,
Jul-87,206.45,77.90,128.21,121.70,6.63,394.42,,185.82,69.14,113.07,111.01,2.05,349.35,
Oct-87,208.30,77.34,132.33,124.17,7.53,396.78,,223.20,86.20,141.88,135.22,6.66,426.01,
Jan-88,210.65,78.47,126.68,122.86,2.96,399.13,,215.10,74.77,126.58,121.88,4.71,405.45,
Apr-88,210.22,79.53,130.11,122.01,8.53,399.67,,214.34,82.93,135.92,123.51,12.41,410.58,
Jul-88,209.89,82.64,129.27,122.43,7.21,399.68,,189.01,73.33,113.81,111.36,2.45,353.26,
Oct-88,208.04,82.56,131.60,123.39,8.09,405.41,,222.14,92.36,141.01,134.00,7.01,434.04,
Jan-89,209.54,86.42,135.33,129.48,4.82,407.88,,212.78,82.55,134.60,127.77,6.83,414.71,
Apr-89,212.13,91.09,132.11,130.60,1.98,410.01,,215.95,94.47,138.95,132.89,6.06,421.38,
Jul-89,210.58,90.17,129.60,127.03,4.12,410.49,,188.04,79.78,113.92,114.93,-1.02,362.65,
Oct-89,210.69,92.16,128.88,129.45,-1.32,414.09,,225.73,103.73,138.11,140.61,-2.50,442.71,
Jan-90,206.44,96.08,127.86,125.59,2.62,415.28,,209.65,91.75,132.07,127.05,5.02,424.34,
Apr-90,200.87,94.05,124.45,121.05,2.63,415.09,,204.18,97.23,126.69,120.05,6.64,423.87,
Jul-90,201.44,96.41,119.80,118.54,1.82,414.84,,178.97,85.03,104.08,107.49,-3.41,368.16,
Oct-90,204.71,96.22,126.17,123.01,2.48,418.37,,218.97,108.90,135.12,134.16,0.96,447.44,
Jan-91,209.00,89.70,117.97,112.03,5.36,414.87,,213.00,85.56,118.59,110.19,8.40,420.39,
Apr-91,209.57,83.37,114.36,105.31,9.95,411.80,,212.62,86.02,120.48,106.86,13.62,422.30,
Jul-91,209.99,83.18,114.44,108.92,4.42,410.39,,186.98,73.25,98.88,99.56,-0.68,367.00,
Oct-91,215.89,83.80,115.74,107.85,8.85,408.17,,232.19,95.17,124.24,117.31,6.94,435.71,
Jan-92,209.91,78.78,113.15,106.52,7.15,409.66,,213.37,75.01,118.43,107.68,10.75,417.20,
Apr-92,213.11,75.88,113.91,108.45,4.81,407.02,,215.85,78.16,115.81,107.64,8.17,415.51,
Jul-92,209.35,68.99,114.50,106.51,6.23,404.06,,189.55,60.93,98.88,97.63,1.25,362.46,
Oct-92,207.72,68.01,113.20,103.69,11.27,395.04,,224.02,77.23,121.48,112.40,9.08,421.51,
Jan-93,208.81,67.00,120.34,110.86,10.25,403.77,,208.61,63.65,125.66,111.48,14.18,410.03,
Apr-93,210.90,66.31,126.72,113.75,12.50,408.03,,213.25,68.26,129.01,113.29,15.72,416.80,
Jul-93,213.72,63.25,139.72,117.12,21.29,415.44,,196.94,56.19,123.83,107.45,16.38,374.94,
Oct-93,207.89,59.93,134.45,118.60,16.73,406.64,,223.02,67.85,142.66,128.16,14.50,433.12,
Jan-94,215.05,65.46,144.02,123.64,20.22,416.74,,214.56,62.01,146.39,122.34,24.05,420.44,
Apr-94,213.95,64.52,144.71,128.02,17.14,424.10,,216.06,66.50,150.37,129.96,20.41,434.32,
Jul-94,215.93,66.18,153.03,132.37,19.94,429.68,,200.17,59.18,136.56,121.39,15.17,389.68,
Oct-94,216.34,67.31,160.62,141.36,19.83,432.47,,230.15,75.91,169.29,151.57,17.72,458.73,
Jan-95,216.40,68.92,172.92,142.72,30.08,438.28,,215.82,65.05,177.61,144.18,33.43,442.92,
Apr-95,216.46,68.14,177.07,145.69,30.88,441.32,,218.90,70.42,180.41,146.08,34.33,450.45,
Jul-95,216.31,72.77,174.12,147.18,27.71,444.28,,200.32,65.39,157.02,133.93,23.09,402.77,
Oct-95,216.17,72.74,170.84,141.47,30.45,447.49,,229.99,81.85,180.45,151.70,28.74,475.87,
Jan-96,215.72,73.11,169.12,139.06,30.29,449.74,,215.62,68.67,173.03,140.30,32.73,451.03,
Apr-96,218.63,73.01,171.01,138.67,31.77,444.48,,221.81,75.65,174.63,139.09,35.54,454.13,
Jul-96,222.28,72.45,167.73,138.47,27.90,450.05,,205.07,65.38,150.08,126.72,23.36,409.58,
Oct-96,222.47,71.42,171.65,144.66,27.63,448.35,,237.05,80.29,182.54,155.88,26.66,480.37,
Jan-97,224.71,70.08,179.66,149.25,30.45,451.03,,221.59,65.39,178.42,146.69,31.73,447.22,
Apr-97,228.16,75.18,191.27,156.34,34.81,459.13,,232.09,78.27,199.10,160.32,38.78,471.72,
Jul-97,226.02,70.56,192.69,158.71,33.69,461.04,,210.48,63.76,174.74,145.35,29.39,419.84,
Oct-97,227.57,72.28,196.08,162.38,33.55,465.50,,241.98,81.21,208.20,174.82,33.39,500.00,
Jan-98,229.31,73.76,197.51,168.77,29.50,465.98,,226.21,68.48,199.66,170.08,29.58,461.82,
Apr-98,232.08,77.62,199.16,170.82,27.81,475.33,,236.39,81.12,202.56,170.76,31.81,486.36,
Jul-98,234.53,78.88,204.14,173.07,31.05,480.14,,218.26,71.33,186.08,158.89,27.18,438.49,
Oct-98,236.77,82.36,207.95,176.93,30.60,482.65,,252.76,92.47,221.05,189.96,31.09,519.09,
Jan-99,240.03,83.37,203.73,174.77,29.43,489.62,,235.36,77.14,203.24,174.76,28.48,482.92,
Apr-99,240.98,85.17,207.85,177.32,30.32,492.88,,245.28,89.29,213.08,178.77,34.31,505.05,
Jul-99,242.41,87.73,215.69,183.46,32.25,500.51,,227.42,79.36,197.62,168.79,28.83,458.17,
Oct-99,249.69,87.18,221.19,190.45,29.96,508.49,,265.65,97.74,234.77,203.99,30.79,546.79,
Jan-00,250.64,88.56,228.43,197.94,29.76,510.02,,248.36,81.94,229.85,201.76,28.09,503.45,
Apr-00,255.38,91.98,234.80,206.37,28.55,519.05,,259.58,96.49,237.80,205.15,32.65,530.54,
Jul-00,256.27,93.74,238.42,216.39,25.17,525.04,,240.45,84.90,220.39,198.40,21.99,480.71,
Oct-00,257.00,94.07,251.67,217.16,33.61,527.11,,271.97,105.26,265.17,230.59,34.59,565.08,
Jan-01,255.48,94.45,241.40,212.21,27.72,524.83,,251.23,87.47,242.97,217.37,25.60,518.46,
Apr-01,254.79,91.91,236.45,208.03,28.71,522.87,,258.81,96.46,239.53,206.46,33.07,535.15,
Jul-01,257.32,93.42,236.29,205.11,33.13,525.28,,242.20,84.66,218.19,188.23,29.96,480.06,
Oct-01,257.15,95.09,239.60,201.88,36.69,529.75,,270.50,106.20,252.77,215.11,37.66,569.55,
Jan-02,257.48,91.23,238.16,203.80,34.83,532.82,,254.32,84.65,235.86,203.33,32.53,522.57,
Apr-02,260.58,95.45,237.30,200.29,36.75,536.61,,264.62,100.17,244.70,203.36,41.34,551.93,
Jul-02,262.00,90.74,228.29,197.86,30.76,535.95,,245.97,82.21,210.10,182.59,27.51,491.37,
Oct-02,263.05,88.80,223.83,195.63,27.60,537.47,,278.06,99.10,236.64,208.09,28.56,577.14,
Jan-03,266.78,90.63,234.50,205.66,28.72,540.65,,261.66,84.16,236.72,210.38,26.35,532.51,
Apr-03,,,,,,,,,,,,,,
